&b / °,R_0 / 1/s
2.5,9
2.6,9.3
2.7,8.8
2.8,9
2.9,9.1
3,8.5
3.1,11.8
3.2,12.1
3.3,11.9
3.4,12.3
3.5,11.3
3.6,13
3.7,11.4
3.8,12.2
3.9,14.4
4,12.2
4.1,12.5
4.2,13.4
4.3,12.1
4.4,13.8
4.5,12.2
4.6,14.4
4.7,16.2
4.8,13
4.9,13.9
5,14.4
5.1,15.6
5.2,17.3
5.3,15.8
5.4,18.3
5.5,16.1
5.6,15.8
5.7,16.6
5.8,17.3
5.9,18.1
6,17.9
6.1,18.5
6.2,20.6
6.3,17.2
6.4,17
6.5,21
6.6,18.8
6.7,21.3
6.8,18.4
6.9,21.7
7,22.7
7.1,26.9
7.2,30.6
7.3,30.8
7.4,35.7
7.5,39.8
7.6,52
7.7,69.3
7.8,90.6
7.9,101.7
8,124.3
8.1,144.2
8.2,166.4
8.3,172.4
8.4,193
8.5,205
8.6,220.9
8.7,244.2
8.8,254.8
8.9,269.6
9,274.8
9.1,287.2
9.2,295.5
9.3,324.3
9.4,329.1
9.5,343
9.6,350.5
9.7,362.8
9.8,363
9.9,372.4
10,379.1
10.1,367.4
10.2,373.5
10.3,380.6
10.4,370.3
10.5,359.8
10.6,356.9
10.7,367.1
10.8,404.1
10.9,528.9
11,903.2
11.1,1076.6
11.2,848.3
11.3,557.9
11.4,394.4
11.5,359.3
11.6,350.8
11.7,339.1
11.8,348.4
11.9,349.4
12,405.9
12.1,1196.8
12.2,2486.9
12.3,2495.1
12.4,1610.1
12.5,731.6
12.6,354.8
12.7,292.9
12.8,280.3
12.9,278.3
13,257.9
13.1,251.4
13.2,244.2
13.3,239.9
13.4,224.9
13.5,217.1
13.6,207.3
13.7,212.2
13.8,197.6
13.9,186.9
14,185.5
14.1,177.7
14.2,172.3
14.3,168.3
14.4,158.7
14.5,154.5
14.6,150
14.7,147
14.8,148
14.9,143.1
15,138.4
15.1,135.4
15.2,127.1
15.3,120.5
15.4,113.3
15.5,114.2
15.6,104.8
15.7,99.7
15.8,94.5
15.9,99.5
16,94.8
16.1,89.9
16.2,91.4
16.3,86.8
16.4,92
16.5,85.3
16.6,86.2
16.7,80.1
16.8,80.1
16.9,82.9
17,75.5
17.1,78.4
17.2,73.2
17.3,75.5
17.4,73.6
17.5,75.7
17.6,73.5
17.7,77.6
17.8,72.5
17.9,74
18,71.1
18.1,73.9
18.2,75.1
18.3,74.3
18.4,70.6
18.5,69.7
18.6,67.4
18.7,68.2
18.8,69.3
18.9,66.9
19,64.8
19.1,68.6
19.2,63.3
19.3,60.3
19.4,69.9
19.5,66.9
19.6,60.1
19.7,66
19.8,62.7
19.9,74.9
20,88.1
20.1,91.7
20.2,94.3
20.3,143.9
20.4,189.9
20.5,149
20.6,95.8
20.7,71.7
20.8,69.1
20.9,66.9
21,62.8
21.1,65.8
21.2,62.8
21.3,65.4
21.4,68.7
21.5,68.2
21.6,66.3
21.7,63.4
21.8,67.8
21.9,68.3
22,63
22.1,73.3
22.2,68.1
22.3,69.8
22.4,84
22.5,122.9
22.6,318.8
22.7,532.6
22.8,538.2
22.9,345.3
23,163.8
23.1,83.9
23.2,70.5
23.3,63.7
23.4,60.7
23.5,59.3
23.6,62.3
23.7,57.9
23.8,59
23.9,58.2
24,53.4
24.1,54.1
24.2,55.8
24.3,53.1
24.4,54.3
24.5,57.4
24.6,53.1
24.7,57.2
24.8,57.9
24.9,54.8
25,51.5
25.1,57.1
25.2,49.2
25.3,51
25.4,55.3
25.5,51
25.6,48.4
25.7,48.2
25.8,52.9
25.9,49.9
26,50.7
26.1,51.3
26.2,49.5
26.3,48.3
26.4,46.7
26.5,50.7
26.6,47.9
26.7,47.9
26.8,47.3
26.9,48.2
27,44.9
27.1,45.7
27.2,42.7
27.3,47
27.4,47.7
27.5,45
27.6,41.8
27.7,44.3
27.8,47.2
27.9,37.7
28,44
28.1,40.3
28.2,40.1
28.3,42
28.4,42
28.5,40.7
28.6,38.3
28.7,40.7
28.8,44.9
28.9,41.2
29,43.5
29.1,39.4
29.2,37.7
29.3,42.8
29.4,36.1
29.5,44.3
29.6,43.7
29.7,39.6
29.8,37.6
29.9,40.5
30,50.6
