&b / °,R_0 / 1/s
2.5,3.1
2.6,1.8
2.7,2.3
2.8,2.1
2.9,1.9
3.0,2.6
3.1,2.4
3.2,2.7
3.3,2.6
3.4,2.6
3.5,3.3
3.6,2.0
3.7,2.7
3.8,2.7
3.9,
4.0,8.3
4.1,12.8
4.2,16.0
4.3,23.1
4.4,29.4
4.5,35.8
4.6,37.4
4.7,47.6
4.8,45.5
4.9,50.5
5.0,52.2
5.1,63.0
5.2,63.9
5.3,65.6
5.4,65.7
5.5,74.5
5.6,69.3
5.7,63.5
5.8,64.9
5.9,72.3
6.0,70.6
6.1,71.6
6.2,76.7
6.3,71.8
6.4,66.9
6.5,73.6
6.6,70.6
6.7,70.2
6.8,68.1
6.9,69.4
7.0,70.1
7.1,74.7
7.2,79.5
7.3,75.2
7.4,96.8
7.5,162.4
7.6,181.2
7.7,170.0
7.8,154.6
7.9,153.4
8.0,127.3
8.1,112.9
8.2,131.7
8.3,375.9
8.4,491.4
8.5,474.9
8.6,410.8
8.7,352.7
8.8,265.9
8.9,161.3
9.0,126.7
9.1,128.3
9.2,114.3
9.3,109.0
9.4,106.0
9.5,103.9
9.6,100.4
9.7,100.1
9.8,95.5
9.9,93.6
10.0,93.7
10.1,85.5
10.2,82.0
10.3,79.2
10.4,78.1
10.5,73.0
10.6,64.9
10.7,63.3
10.8,59.9
10.9,59.1
11.0,50.1
11.1,52.1
11.2,51.5
11.3,53.5
11.4,45.5
11.5,46.8
11.6,47.4
11.7,44.8
11.8,49.2
11.9,46.7
12.0,49.1
12.1,49.7
12.2,44.6
12.3,46.4
12.4,52.5
12.5,51.3
12.6,50.3
12.7,47.6
12.8,49.0
12.9,48.6
13.0,46.7
13.1,53.0
13.2,47.6
13.3,47.9
13.4,55.1
13.5,52.5
13.6,48.2
13.7,52.9
13.8,55.7
13.9,62.3
14.0,68.6
14.1,63.0
14.2,59.8
14.3,59.3
14.4,59.8
14.5,56.2
14.6,55.7
14.7,54.6
14.8,50.7
14.9,50.6
15.0,51.0
15.1,50.8
15.2,49.0
15.3,48.4
15.4,52.0
15.5,60.2
15.6,84.0
15.7,99.2
15.8,90.2
15.9,88.4
16.0,85.5
16.1,71.0
16.2,68.6
16.3,55.4
16.4,47.0
16.5,44.9
16.6,41.7
16.7,38.3
16.8,36.0
16.9,39.8
17.0,36.0
17.1,36.5
17.2,38.4
17.3,34.0
17.4,35.4
17.5,30.7
17.6,32.9
17.7,31.5
17.8,28.7
17.9,27.8
18.0,29.4
18.1,27.7
18.2,30.9
18.3,27.3
18.4,26.1
18.5,24.7
18.6,27.1
18.7,25.1
18.8,24.4
18.9,23.3
19.0,22.4
19.1,24.3
19.2,23.8
19.3,22.0
19.4,24.8
19.5,24.3
19.6,24.0
19.7,21.2
19.8,23.0
19.9,19.7
20.0,22.2
20.1,20.8
20.2,23.4
20.3,26.2
20.4,23.5
20.5,26.8
20.6,28.0
20.7,29.9
20.8,27.3
20.9,24.8
21.0,20.6
21.1,21.7
21.2,20.3
21.3,21.3
21.4,20.2
21.5,21.3
21.6,20.0
21.7,16.6
21.8,19.2
21.9,22.1
22.0,19.8
22.1,18.2
22.2,18.3
22.3,20.0
22.4,17.8
22.5,17.3
22.6,19.7
22.7,20.2
22.8,21.7
22.9,19.8
23.0,29.1
23.1,50.9
23.2,73.2
23.3,63.4
23.4,45.8
23.5,29.5
23.6,23.9
23.7,24.9
23.8,22.4
23.9,19.9
24.0,19.4
24.1,15.7
24.2,15.1
24.3,16.5
24.4,14.7
24.5,14.9
24.6,14.8
24.7,15.4
24.8,15.7
24.9,15.8
25.0,14.4
25.1,14.1
25.2,15.4
25.3,15.2
25.4,14.0
25.5,12.6
25.6,13.8
25.7,14.0
25.8,14.7
25.9,14.4
26.0,14.0
26.1,12.1
26.2,13.9
26.3,13.3
26.4,14.5
26.5,13.8
26.6,12.4
26.7,14.2
26.8,13.8
26.9,13.0
27.0,13.2
27.1,13.9
27.2,16.1
27.3,14.0
27.4,15.7
27.5,14.5
27.6,19.5
27.7,23.9
27.8,20.8
27.9,18.4
28.0,14.2
28.1,14.4
28.2,13.6
28.3,13.7
28.4,12.8
28.5,13.3
28.6,13.3
28.7,11.3
28.8,11.7
28.9,11.2
29.0,10.4
29.1,11.4
29.2,12.3
29.3,11.8
29.4,9.8
29.5,11.5
29.6,12.0
29.7,9.8
29.8,10.5
29.9,11.1
30.0,11.0
30.1,11.8
30.2,12.3
30.3,12.0
30.4,10.7
30.5,10.3
30.6,10.9
30.7,10.7
30.8,11.9
30.9,10.5
31.0,13.0
31.1,19.0
31.2,30.3
31.3,47.4
31.4,45.2
31.5,38.2
31.6,27.1
31.7,17.8
31.8,12.6
31.9,12.2
32.0,11.1
32.1,8.3
32.2,9.1
32.3,10.7
32.4,10.3
32.5,9.1
32.6,8.5
32.7,9.9
32.8,9.4
32.9,8.1
33.0,8.1
33.1,9.6
33.2,8.0
33.3,8.9
33.4,6.5
33.5,8.4
33.6,7.9
33.7,8.6
33.8,6.0
33.9,8.3
34.0,7.7
34.1,8.6
34.2,7.1
34.3,6.9
34.4,7.9
34.5,9.5
34.6,7.8
34.7,9.9
34.8,7.7
34.9,7.6
35.0,8.6
